id,Title,Director,Cast,Genre,year,imbd link
86,Do Boond Pani,Khwaja Ahmad Abbas,"Simi Garewal, Madhu Chanda, Jalal Agha",Drama,1971,http://www.imdb.com/find?q=Do+Boond+Pani+1971+
87,Do Raha,,"Shatrughan Sinha, Anil Dhawan",Drama,1971,http://www.imdb.com/find?q=Do+Raha+1971+
88,Door Ka Raahi,Kishore Kumar,"Tanuja, Kishore Kumar, Ashok Kumar",Drama,1971,http://www.imdb.com/find?q=Door+Ka+Raahi+1971+
89,Dost Aur Dushman,Kewal Mishra,"Shatrughan Sinha, Rekha, Vinod Khanna",Drama,1971,http://www.imdb.com/find?q=Dost+Aur+Dushman+1971+
90,Dushman,Dulal Guha,"Rajesh Khanna, Meena Kumari, Mumtaz",Drama,1971,http://www.imdb.com/find?q=Dushman+1971+
91,Ek Nari Ek Brahmachari,Kotayya Pratyagatma,"Jeetendra, Mumtaz, Aruna Irani",Comedy,1971,http://www.imdb.com/find?q=Ek+Nari+Ek+Brahmachari+1971+
92,Ek Paheli,Naresh Kumar,"Sanjeev Kumar, Feroz Khan, Aruna Irani",Thriller,1971,http://www.imdb.com/find?q=Ek+Paheli+1971+
93,Elaan,K. Ramanlal,"Vinod Mehra, Vinod Khanna, Rekha, Madan Puri",Thriller,1971,http://www.imdb.com/find?q=Elaan+1971+
94,Ek Thi Reeta,Roop K. Shorey,"Vinod Mehra, Tanuja, I. S. Johar, Rehman, Daisy Irani, Faryal, Lolita Chatterjee",Drama,1971,http://www.imdb.com/find?q=Ek+Thi+Reeta+1971+
95,Gambler,Amarpreet,"Dev Anand, Zaheeda, Shatrughan Sinha, Zahira",Thriller,1971,http://www.imdb.com/find?q=Gambler+1971+
96,Ganga Tera Pani Amrit,,"Nirupa Roy, Narendra Nath, Pran",Drama,1971,http://www.imdb.com/find?q=Ganga+Tera+Pani+Amrit+1971+
