id,Title,Director,Cast,Genre,year,imbd link
3965,Krishna Aur Kans,Vikram Veturi,"Voice-over by Om Puri, Juhi Chawla, Manoj Bajpai, Anupam Kher, A. K. Hangal, Sachin Pilgaonkar, Supriya Pilgaonkar, Prachi Save[53][54]",Computer-Animated,2012,http://www.imdb.com/find?q=Krishna+Aur+Kans+2012+
3966,Gangs of Wasseypur - Part 2,Anurag Kashyap,"Nawazuddin Siddiqui, Tigmanshu Dhulia, Piyush Mishra, Richa Chadda, Huma Qureshi,Reema Sen[55]",Adult/Crime/Thriller,2012,http://www.imdb.com/find?q=Gangs+of+Wasseypur+-+Part+2+2012+
3967,Paanch Ghantey Mien Paanch Crore,Faisal Saif,"Meera, Abhishek Kumar, Kavita Radheshyam",Thriller,2012,http://www.imdb.com/find?q=Paanch+Ghantey+Mien+Paanch+Crore+2012+
3968,Ek Tha Tiger,Kabir Khan,"Salman Khan, Katrina Kaif, Ranvir Shorey, Girish Karnad[56]",Romance/Action,2012,http://www.imdb.com/find?q=Ek+Tha+Tiger+2012+
3969,Shirin Farhad Ki Toh Nikal Padi,Bela Sehgal,"Boman Irani, Farah Khan[57]",Romance/Comedy,2012,http://www.imdb.com/find?q=Shirin+Farhad+Ki+Toh+Nikal+Padi+2012+
3970,Joker,Shirish Kunder,"Akshay Kumar, Sonakshi Sinha, Shreyas Talpade, Minnisha Lamba[58]",Drama,2012,http://www.imdb.com/find?q=Joker+2012+
3971,Jalpari: The Desert Mermaid,Nila Madhab Panda,"Rahul Singh, Suhasini Mulay, Lehar Khan, Harsh Mayar, Tannishtha Chatterjee, Parvin Dabas[59]",Thriller/Social,2012,http://www.imdb.com/find?q=Jalpari:+The+Desert+Mermaid+2012+
3972,From Sydney with Love,Prateek Chakravorty,"Sharad Malhotra, Karan Sagoo, Evelyn Sharma[60]",Romantic,2012,http://www.imdb.com/find?q=From+Sydney+with+Love+2012+
3973,I M 24,Saurabh Shukla,"Ranvir Shorey, Neha Dhupia, Saurabh Shukla, Rajat Kapoor, Karan Singh Grover,Manjari Fadnis",Comedy,2012,http://www.imdb.com/find?q=I+M+24+2012+
3974,Raaz 3,Vikram Bhatt,"Emraan Hashmi, Bipasha Basu, Esha Gupta[61]",Adult/Suspense/Thriller,2012,http://www.imdb.com/find?q=Raaz+3+2012+
3975,,,,,2012,http://www.imdb.com/find?q=2012+
3976,,,,,2012,http://www.imdb.com/find?q=2012+
3977,Chal Pichchur Banate Hain,Pritish Chakraborty,"Rahil Tandon, Bhavna Ruparel[62]",Comedy,2012,http://www.imdb.com/find?q=Chal+Pichchur+Banate+Hain+2012+
3978,Barfi!,Anurag Basu,"Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz[63]",Romance/Comedy,2012,http://www.imdb.com/find?q=Barfi!+2012+
3979,Jeena Hai Toh Thok Daal,Manish Vatsalya,"Ravi Kissen, Yashpal Sharma, Govind Namdev, Hazel, Sharat Saxena[64]",Drama,2012,http://www.imdb.com/find?q=Jeena+Hai+Toh+Thok+Daal+2012+
3980,Heroine,Madhur Bhandarkar,"Kareena Kapoor, Arjun Rampal, Randeep Hooda, Mugdha Godse, Rakesh Bapat, Divya Dutta[65]",Adult/Drama,2012,http://www.imdb.com/find?q=Heroine+2012+
3981,Kamaal Dhamaal Malamaal,Priyadarshan,"Paresh Rawal, Om Puri, Nana Patekar, Shreyas Talpade, Rajpal Yadav, Madhurima[66]",Comedy,2012,http://www.imdb.com/find?q=Kamaal+Dhamaal+Malamaal+2012+
3982,Oh My God,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Lubna Salim [67]",Comedy,2012,http://www.imdb.com/find?q=Oh+My+God+2012+
3983,English Vinglish,Gauri Shinde,"Sridevi, Priya Anand, Mehdi Nebbou, Amitabh Bachchan[68]",Drama,2012,http://www.imdb.com/find?q=English+Vinglish+2012+
3984,Kismet Love Paisa Dilli,Sanjay Khanduri,"Vivek Oberoi, Mallika Sherawat[69]",Comedy,2012,http://www.imdb.com/find?q=Kismet+Love+Paisa+Dilli+2012+
3985,Aiyyaa,Sachin Kundalkar,"Rani Mukerji, Prithviraj Sukumaran[70]",Rom-Com,2012,http://www.imdb.com/find?q=Aiyyaa+2012+
3986,Makkhi,S S Rajamouli,"Sudeep, Nani, Samantha[71]",Action/Fantasy,2012,http://www.imdb.com/find?q=Makkhi+2012+
3987,Login,Sanjeev Reddy,"Himansu Bhatt, Radhika Roy, Akkash Basant, Rashmi Gautam, Nandini Rai,[72]",Drama/Thriller,2012,http://www.imdb.com/find?q=Login+2012+
3988,Chittagong (film),Bedabrata Pain,"Manoj Bajpai, Vega Tamotia, Nawazuddin Siddiqui, Barry John[73]",Drama,2012,http://www.imdb.com/find?q=Chittagong+(film)+2012+
3989,Bhoot Returns,Ram Gopal Verma,"Manisha Koirala, J. D. Chakravarthy[74]",Horror,2012,http://www.imdb.com/find?q=Bhoot+Returns+2012+
3990,Student Of The Year,Karan Johar,"Siddharth Malhotra, Alia Bhatt, Varun Dhawan, Rishi Kapoor[75]",Romance/Comedy,2012,http://www.imdb.com/find?q=Student+Of+The+Year+2012+
3991,Delhi Safari,Nikhil Advani,"Voice-Over By Akshaye Khanna, Suniel Shetty, Urmila Matondkar, Boman Irani, Govinda, Swini Khara[76]",Computer Animated,2012,http://www.imdb.com/find?q=Delhi+Safari+2012+
3992,Chakravyuh,Prakash Jha,"Arjun Rampal, Abhay Deol, Esha Gupta, Manoj Bajpai, Kabir Bedi[77]",Political Thriller,2012,http://www.imdb.com/find?q=Chakravyuh+2012+
3993,Ajab Gazabb Love,Sanjay Gadhvi,"Jackky Bhagnani, Nidhi Subbaiah, Arjun Rampal, Darshan Jariwala, Kirron Kher[78]",Comedy,2012,http://www.imdb.com/find?q=Ajab+Gazabb+Love+2012+
3994,Rush,"Shamin Desai, Priyanka Desai","Emraan Hashmi, Neha Dhupia, Sagarika Ghatge, Aditya Pancholi[79]",Thriller/Crime,2012,http://www.imdb.com/find?q=Rush+2012+
3995,Luv Shuv Tey Chicken Khurana,Sameer Sharma,"Kunal Kapoor, Huma Qureshi[80]",Comedy,2012,http://www.imdb.com/find?q=Luv+Shuv+Tey+Chicken+Khurana+2012+
3996,1920 - Evil Returns,Bhushan Patel,"Aftab Shivdasani, Tia Bajpai, Vidya Malvade[81]",Horror,2012,http://www.imdb.com/find?q=1920+-+Evil+Returns+2012+
3997,Ata Pata Laapata,Rajpal Yadav,"Rajpal Yadav, Ashutosh Rana, Asrani[82]",Musical Comedy,2012,http://www.imdb.com/find?q=Ata+Pata+Laapata+2012+
3998,Sons Of Ram,Kushal Ruia,"Voice over by Sunidhi Chauhan, Aditya Kapadia, Devansh Doshi, Saptharishi Ghosh[83]",Animation/Drama/Children,2012,http://www.imdb.com/find?q=Sons+Of+Ram+2012+
3999,Future To Bright Hai Ji,Sanjay Amar,"Aamir Bashir, Sonal Sehgal, Satish Kaushik[84]",Drama,2012,http://www.imdb.com/find?q=Future+To+Bright+Hai+Ji+2012+
4000,Jab Tak Hai Jaan,Yash Chopra,"Shahrukh Khan, Katrina Kaif, Anushka Sharma[85]","Romance, Drama",2012,http://www.imdb.com/find?q=Jab+Tak+Hai+Jaan+2012+
4001,Son Of Sardaar,Ashwni Dhir,"Ajay Devgn, Sonakshi Sinha, Sanjay Dutt, Juhi Chawla[86]",Comedy,2012,http://www.imdb.com/find?q=Son+Of+Sardaar+2012+
4002,Talaash,Reema Kagti,"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui[87]",Drama/Suspense,2012,http://www.imdb.com/find?q=Talaash+2012+
4003,Khiladi 786,Ashish R Mohan,"Akshay Kumar, Asin Thottumkal, Mithun Chakraborty, Raj Babbar, Himesh Reshammiya, Paresh Rawal[88]",Action/Comedy,2012,http://www.imdb.com/find?q=Khiladi+786+2012+
4004,,,,,2012,http://www.imdb.com/find?q=2012+
4005,,,,,2012,http://www.imdb.com/find?q=2012+
4006,,,,,2012,http://www.imdb.com/find?q=2012+
4007,,,,,2012,http://www.imdb.com/find?q=2012+
4008,,,,,2012,http://www.imdb.com/find?q=2012+
4009,Cigarette Ki Tarah,Akashaditya Lama,"Bhoop Yaduvanshi, Prashant Narayanan, Madhurima Tuli, Sudesh Berry,[89]",Drama/Thriller,2012,http://www.imdb.com/find?q=Cigarette+Ki+Tarah+2012+
4010,Dabangg 2,Arbaaz Khan,"Salman Khan, Sonakshi Sinha, Arbaaz Khan, Prakash Raj, Vinod Khanna[90]",Action/Comedy,2012,http://www.imdb.com/find?q=Dabangg+2+2012+
4011,Table No. 21,Aditya Datt,"Paresh Rawal, Rajeev Khandelwal, Tena Desae",Thriller/Drama,2013,http://www.imdb.com/find?q=Table+No.+21+2013+
4012,Dehraadun Diary,Milind Ukey,"Adhyayan Suman, Rohit Bakshi, Ragini Nandwani, Ashwini Kalsekar, Rati Agnihotri",Thriller,2013,http://www.imdb.com/find?q=Dehraadun+Diary+2013+
4013,Meri Shadi Karao,Syed Noor,Gurdeep Singh Mehndi,Comedy,2013,http://www.imdb.com/find?q=Meri+Shadi+Karao+2013+
4014,Matru Ki Bijlee Ka Mandola,Vishal Bhardwaj,"Imran Khan, Anushka Sharma, Pankaj Kapur",Comedy,2013,http://www.imdb.com/find?q=Matru+Ki+Bijlee+Ka+Mandola+2013+
4015,Pyaar Mein Aisa Hota Hai,Rajeesh Kumar,"Mohd Nazim, Aanamika Bawa, Rohit Rajawat, Aayushi Sharma",Thriller,2013,http://www.imdb.com/find?q=Pyaar+Mein+Aisa+Hota+Hai+2013+
4016,Gangoobai,Priya Krishnaswamy,"Sarita Joshi, Purab Kohli, Mita Vasisht",Drama,2013,http://www.imdb.com/find?q=Gangoobai+2013+
4017,Inkaar,Sudhir Mishra,"Arjun Rampal, Chitrangada Singh, Gaurav Dwivedi",Romance/Crime,2013,http://www.imdb.com/find?q=Inkaar+2013+
4018,Mumbai Mirror,Ankush Bhatt,"Sachiin Joshi, Gihana Khan, Prakash Raj",Action,2013,http://www.imdb.com/find?q=Mumbai+Mirror+2013+
4019,Bandook,Aditya Om,"Aditya Om, Manisha Kelkar, Arshad Khan",Crime,2013,http://www.imdb.com/find?q=Bandook+2013+
4020,Race 2,Abbas-Mustan,"Saif Ali Khan, Deepika Padukone, John Abraham, Jacqueline Fernandez, Anil Kapoor, Ameesha Patel",Action/Thriller,2013,http://www.imdb.com/find?q=Race+2+2013+
4021,Akaash Vani,Luv Ranjan,"Kartik Tiwari, Nushrat Bharucha",Romance,2013,http://www.imdb.com/find?q=Akaash+Vani+2013+
4022,Main Krishna Hoon,Rajiv S. Ruia,"Hrithik Roshan, Juhi Chawla, Rajneesh Duggal, Misti Mukherjee, Katrina Kaif",Animation/Musical,2013,http://www.imdb.com/find?q=Main+Krishna+Hoon+2013+
4023,David,Bejoy Nambiar,"Vikram, Lara Dutta, Vinay Virmani, Neil Nitin Mukesh, Tabu",Crime,2013,http://www.imdb.com/find?q=David+2013+
4024,Vishwaroop,Kamal Hassan,"Kamal Hassan, Pooja Kumar, Shekhar Kapur, Andrea Jeremiah, Rahul Bose",Action,2013,http://www.imdb.com/find?q=Vishwaroop+2013+
4025,Mai...,Mahesh Kodiyal,"Asha Bhosle, Ram Kapoor, Padmini Kolhapure",Drama/Family,2013,http://www.imdb.com/find?q=Mai...+2013+
4026,Listen... Amaya,Avinash Kumar Singh,"Farooq Sheikh, Deepti Naval, Swara Bhaskar",Drama,2013,http://www.imdb.com/find?q=Listen...+Amaya+2013+
4027,Special 26,Neeraj Pandey,"Akshay Kumar, Kajal Aggarwal, Manoj Bajpayee, Anupam Kher, Jimmy Shergill[20]",Drama/Comedy,2013,http://www.imdb.com/find?q=Special+26+2013+
4028,The Unsound,Alok Shrivastava,"Shadaab Khan, Anurita Jha[21]",Thriller,2013,http://www.imdb.com/find?q=The+Unsound+2013+
4029,Jayantabhai Ki Luv Story,Vinnil Markan,"Vivek Oberoi, Neha Sharma[22]",Comedy/Romance,2013,http://www.imdb.com/find?q=Jayantabhai+Ki+Luv+Story+2013+
4030,Murder 3,Vishesh Bhatt,"Randeep Hooda, Aditi Rao Hydari, Mona Lizza",Thriller,2013,http://www.imdb.com/find?q=Murder+3+2013+
4031,Kai Po Che!,Abhishek Kapoor,"Amit Sadh, Sushant Singh Rajput, Rajkummar Rao, Amrita Puri",Drama,2013,http://www.imdb.com/find?q=Kai+Po+Che!+2013+
4032,Zilla Ghaziabad,Anand Kumar,"Arshad Warsi, Vivek Oberoi, Harsh Raj Gond, Sanjay Dutt,Minissha Lamba, Ravi Kishan, Paresh Rawal",Action,2013,http://www.imdb.com/find?q=Zilla+Ghaziabad+2013+
4033,"I, Me, aur Main",Kapil Sharma,"John Abraham, Prachi Desai, Chitrangda Singh",Romantic comedy,2013,"http://www.imdb.com/find?q=""I,+Me,+aur+Main""+2013+"
4034,Bloody Isshq,Arup Dutta,"Akash Singh, Shilpa Anand, Tripta Parashar",Romance/Thriller,2013,http://www.imdb.com/find?q=Bloody+Isshq+2013+
4035,"Saheb, Biwi Aur Gangster Returns",Tigmanshu Dhulia,"Jimmy Shergill, Mahie Gill, Irrfan Khan, Soha Ali Khan",Drama/Thriller,2013,"http://www.imdb.com/find?q=""Saheb,+Biwi+Aur+Gangster+Returns""+2013+"
4036,Saare Jahaan Se Mehnga,Anshul Sharma,"Sanjai Mishra, Ranjan Chhabra, Disha Pandey, Vishwa Mohan Badola, Pramod Pathak, Zakir Hussain",Satire/Comedy,2013,http://www.imdb.com/find?q=Saare+Jahaan+Se+Mehnga+2013+
4037,3G,Shantanu & Sheershak,"Neil Nitin Mukesh, Sonal Chauhan",Thriller,2013,http://www.imdb.com/find?q=3G+2013+
4038,Mere Dad Ki Maruti,Ashima Chibber,"Saqib Saleem, Ram Kapoor, Rhea Chakraborty, Prabal Panjabi",Comedy,2013,http://www.imdb.com/find?q=Mere+Dad+Ki+Maruti+2013+
4039,Jolly LLB,Subash Kapoor,"Arshad Warsi, Amrita Rao, Boman Irani, Saurabh Shukla",Comedy/Satire,2013,http://www.imdb.com/find?q=Jolly+LLB+2013+
4040,Rangrezz,Priyadarshan,"Jackky Bhagnani, Priya Anand, Rajpal Yadav, Evelyn Sharma",Action,2013,http://www.imdb.com/find?q=Rangrezz+2013+
4041,Himmatwala,Sajid Khan,"Ajay Devgan, Tamannaah, Mahesh Manjrekar, Riteish Deshmukh",Action/Comedy,2013,http://www.imdb.com/find?q=Himmatwala+2013+
4042,Chashme Baddoor,David Dhawan,"Ali Zafar, Siddharth, Taapsee Pannu, Divyendu Sharma[35]",Comedy,2013,http://www.imdb.com/find?q=Chashme+Baddoor+2013+
4043,Nautanki Saala,Rohan Sippy,"Ayushmann Khurrana, Kunaal Roy Kapur, Pooja Salvi, Evelyn Sharma[36]",Comedy/Romance,2013,http://www.imdb.com/find?q=Nautanki+Saala+2013+
4044,Commando-A One Man Army,Dilip Ghosh,"Vidyut Jamwal, Pooja Chopra, Jaideep Ahlawat[37]",Action/Romance,2013,http://www.imdb.com/find?q=Commando-A+One+Man+Army+2013+
4045,Ek Thi Daayan,Kannan Iyer,"Emraan Hashmi, Huma Qureshi, Konkona Sen Sharma, Kalki Koechlin[38]",Horror,2013,http://www.imdb.com/find?q=Ek+Thi+Daayan+2013+
4046,Aashiqui 2,Mohit Suri,"Aditya Roy Kapur, Shraddha Kapoor, Shaad Randhawa[39]",Musical romance,2013,http://www.imdb.com/find?q=Aashiqui+2+2013+
4047,Shree,Rajesh Bachchani,"Hussain Kuwajerwala, Paresh Ganatra, Anjali Patil[40]",Thriller,2013,http://www.imdb.com/find?q=Shree+2013+
4048,Shootout at Wadala,Sanjay Gupta,"John Abraham, Anil Kapoor, Ronit Roy, Manoj Bajpayee, Kangana Ranaut,Sonu Sood, Tushar Kapoor, Mahesh Manjrekar, Priyanka Chopra, Sunny Leone, Jackie Shroff, Raju Kher[41]",Crime/Thriller,2013,http://www.imdb.com/find?q=Shootout+at+Wadala+2013+
4049,Bombay Talkies,"Anurag Kashyap, Karan Johar, Zoya Akhtar,Dibakar Banerjee","tanmay pant, Rani Mukerji, Nawazuddin Siddiqui, Randeep Hooda, Saqib Saleem, Sadashiv Amrapurkar, Katrina Kaif[42]",Anthology,2013,http://www.imdb.com/find?q=Bombay+Talkies+2013+
4050,Chhota Bheem And The Throne of Bali,Rajiv Chilaka,"Chhota Bheem, Raju, Chutki, arjun[43]",Children/Animation,2013,http://www.imdb.com/find?q=Chhota+Bheem+And+The+Throne+of+Bali+2013+
4051,Go Goa Gone,"Raj Nidimoru, Krishna D.K.","Saif Ali Khan, Kunal Khemu, Vir Das, Puja Gupta[44]",Zombie comedy,2013,http://www.imdb.com/find?q=Go+Goa+Gone+2013+
4052,Gippi,Sonam Nair,"Riya Vij, Divya Dutta, Taaha Shah[45]",Coming of age,2013,http://www.imdb.com/find?q=Gippi+2013+
4053,Aurangzeb,Atul Sabharwal,"Arjun Kapoor, Prithviraj Sukumaran, Jackie Shroff, Rishi Kapoor, Sasha Agha[46]",Drama/Action,2013,http://www.imdb.com/find?q=Aurangzeb+2013+
4054,I Don't Luv U,Amit Kasaria,"Ruslaan Mumtaz, Chetna Pande[47]",Romantic drama,2013,http://www.imdb.com/find?q=I+Don't+Luv+U+2013+
4055,Beehad - The Ravines,Krishna Mishra,"Maan Singh Deep, Mangal Singh, Sunil Sawara[48]",Drama,2013,http://www.imdb.com/find?q=Beehad+-+The+Ravines+2013+
4056,Ishkq in Paris,Prem Raj,"Preity Zinta, Rhehan Malliek, Isabelle Adjani[49]",Romance,2013,http://www.imdb.com/find?q=Ishkq+in+Paris+2013+
4057,Hum Hai Raahi CAR Ke,Jyotin Goel,"Adah Sharma, Dev Goel, Sanjay Dutt, Juhi Chawla, Chunky Pandey[50]",Romantic comedy,2013,http://www.imdb.com/find?q=Hum+Hai+Raahi+CAR+Ke+2013+
4058,Zindagi 50-50,Rajiv S. Ruia,"Riya Sen, Rajan Verma, Veena Malik, Arya Babbar, Supriya Kumari, Rajpal Yadav[51]",Social,2013,http://www.imdb.com/find?q=Zindagi+50-50+2013+
4059,Yeh Jawaani Hai Deewani,Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur, Kalki Koechlin, Evelyn Sharma, Kunal Roy Kapoor[52]",Romantic comedy,2013,http://www.imdb.com/find?q=Yeh+Jawaani+Hai+Deewani+2013+
4060,Yamla Pagla Deewana 2,Sangeeth Sivan,"Dharmendra, Sunny Deol, Bobby Deol, Neha Sharma, Kristina Akheeva[53]",Comedy/Action,2013,http://www.imdb.com/find?q=Yamla+Pagla+Deewana+2+2013+
4061,Fukrey,Mrigdeep Singh Lamba,"Pulkit Samrat, Manjot Singh, Ali Fazal, Richa Chadda, Vishakha Singh, Priya Anand, Pankaj Tripathi[54]",Comedy,2013,http://www.imdb.com/find?q=Fukrey+2013+
4062,Ankur Arora Murder Case,Suhail Tatari,"Kay Kay Menon, Paoli Dam, Arjun Mathur, Vishakha Singh, Harsh Chhaya[55]",Thriller,2013,http://www.imdb.com/find?q=Ankur+Arora+Murder+Case+2013+
4063,Raanjhanaa,Anand L. Rai,"Dhanush, Sonam Kapoor, Abhay Deol, Swara Bhaskar, Mohammed Zeeshan Ayyub[56]",Romance,2013,http://www.imdb.com/find?q=Raanjhanaa+2013+
4064,Enemmy,Ashu Trikha,"Mithun Chakraborty, Sunil Shetty, Mahakshay Chakraborty, Kay Kay Menon,Johnny Lever, Mahesh Manjrekar, Yuvika Chaudhary[57]",Action,2013,http://www.imdb.com/find?q=Enemmy+2013+
4065,Shortcut Romeo,Susi Ganeshan,"Neil Nitin Mukesh, Ameesha Patel, Puja Gupta[58]",Romantic thriller,2013,http://www.imdb.com/find?q=Shortcut+Romeo+2013+
4066,Ghanchakkar,Rajkumar Gupta,"Emraan Hashmi, Vidya Balan[59]",Comedy/Thriller,2013,http://www.imdb.com/find?q=Ghanchakkar+2013+
4067,Lootera,Vikramaditya Motwane,"Ranveer Singh, Sonakshi Sinha[60]",Romance/Thriller,2013,http://www.imdb.com/find?q=Lootera+2013+
4068,Policegiri,K. S. Ravikumar,"Sanjay Dutt, Prakash Raj, Om Puri, Prachi Desai[61]",Action,2013,http://www.imdb.com/find?q=Policegiri+2013+
4069,Bhaag Milkha Bhaag,Aakash Bhimani,"Farhan Akhtar, Sonam Kapoor, Divya Dutta, Pawan Malhotra[62]",Biopic,2013,http://www.imdb.com/find?q=Bhaag+Milkha+Bhaag+2013+
4070,Sixteen,Raj Purohit,"Izabelle Leite, Darshan Jariwala, Wamiqa Gabbi, Highphill Mathew, Rohan Mehra[63]",Drama,2013,http://www.imdb.com/find?q=Sixteen+2013+
4071,B.A. Pass,Ajay Bahl,"Shilpa Shukla, Shadab Kamal, Rajesh Sharma[64]",Drama,2013,http://www.imdb.com/find?q=B.A.+Pass+2013+
4072,Boyss Toh Boyss Hain,Amit Vats,"Raj Kumar Yadav, Anshuman Jha, Divya Dutta, Sharat Saxena, Dhruv Ganesh, Aarya Kumar[65]",Comedy,2013,http://www.imdb.com/find?q=Boyss+Toh+Boyss+Hain+2013+
4073,Ramaiya Vastavaiya,Prabhudeva,"Girish Kumar, Shruti Haasan[66]",Rom-com,2013,http://www.imdb.com/find?q=Ramaiya+Vastavaiya+2013+
4074,D Day,Nikhil Advani,"Arjun Rampal, Rishi Kapoor, Shruti Haasan, Irrfan Khan, Huma Qureshi[67]",Action/Drama,2013,http://www.imdb.com/find?q=D+Day+2013+
4075,Ship of Theseus,Anand Gandhi,"Aida Al-Khashef, Niraj Kabi, Sohum Shah, Vinay Shukla[68]",Avant-garde,2013,http://www.imdb.com/find?q=Ship+of+Theseus+2013+
4076,Issaq,Manish Tiwary,"Prateik Babbar, Rajeshwari Sachdev, Evelyn Sharma, Ravi Kishan, Makarand Deshpande[69]",Romance/Drama,2013,http://www.imdb.com/find?q=Issaq+2013+
4077,Bajatey Raho,Shashant Shah,"Vinay Pathak, Ranvir Shorey, Ravi Kishan, Dolly Ahluwalia[70]",Comedy,2013,http://www.imdb.com/find?q=Bajatey+Raho+2013+
4078,Luv U Soniyo,Joe Rajan,"Tanuj Virwani, Neha Hinge[71]",Romance,2013,http://www.imdb.com/find?q=Luv+U+Soniyo+2013+
4079,Nasha,Amit Saxena,"Poonam Pandey, Shivam, Ranbir Chakma[72]",Erotic/Thriller,2013,http://www.imdb.com/find?q=Nasha+2013+
4080,Rabba Main Kya Karoon,Amrit Sagar Chopra,"Arshad Warsi, Akash Chopra, Tahira Kochchar, Paresh Rawal[73]",Comedy,2013,http://www.imdb.com/find?q=Rabba+Main+Kya+Karoon+2013+
4081,Chor Chor Super Chor,K. Rajesh,"Deepak Dobriyal, Anshul Kataria, Priya Bathija, Paru Uma[74]",Comedy,2013,http://www.imdb.com/find?q=Chor+Chor+Super+Chor+2013+
4082,Calapor,Dinesh P. Bhonsle,"Rituparna Sengupta, Priyanshu Chatterjee, Raghubir Yadav, Harsh Chhaya[75]",Thriller/Drama,2013,http://www.imdb.com/find?q=Calapor+2013+
4083,Love in Bombay,Joy Mukherjee,"Joy Mukherjee, Waheeda Rehman, Rehman, Ashok Kumar[76]",Romance,2013,http://www.imdb.com/find?q=Love+in+Bombay+2013+
4084,Chennai Express,Rohit Shetty,"Shah Rukh Khan, Deepika Padukone[77]",Comedy/Action,2013,http://www.imdb.com/find?q=Chennai+Express+2013+
4085,Once Upon Ay Time In Mumbai Dobaara!,Milan Luthria,"Akshay Kumar, Imran Khan, Sonakshi Sinha, Sonali Bendre, Mahesh Manjrekar[78]",Crime/Romance,2013,http://www.imdb.com/find?q=Once+Upon+Ay+Time+In+Mumbai+Dobaara!+2013+
4086,Madras Cafe,Shoojit Sircar,"John Abraham, Nargis Fakhri",Drama/Espionage thriller,2013,http://www.imdb.com/find?q=Madras+Cafe+2013+
4087,Satyagraha,Prakash Jha,"Amitabh Bachchan, Ajay Devgn, Kareena Kapoor, Arjun Rampal, Amrita Rao,Manoj Bajpai[79]",Political thriller,2013,http://www.imdb.com/find?q=Satyagraha+2013+
4088,Zanjeer,Apoorva Lakhia,"Ram Charan, Priyanka Chopra, Sanjay Dutt, Mahie Gill, Prakash Raj, Atul Kulkarni[80]",Action/Thriller,2013,http://www.imdb.com/find?q=Zanjeer+2013+
4089,Shuddh Desi Romance,Maneesh Sharma,"Sushant Singh Rajput, Parineeti Chopra, Vaani Kapoor, Rishi Kapoor[81]",Romance,2013,http://www.imdb.com/find?q=Shuddh+Desi+Romance+2013+
4090,Siddharth,Richie Mehta,Rajesh Tailang,Drama,2013,http://www.imdb.com/find?q=Siddharth+2013+
4091,Grand Masti,Indra Kumar,"Ritesh Deshmukh, Vivek Oberoi, Aftab Shivdasani, Karishma Tanna, Manjari Phadnis, Bruna Abdullah, Kainaat Arora[82]",Adult comedy,2013,http://www.imdb.com/find?q=Grand+Masti+2013+
4092,John Day,Ahishor Solomon,"Naseeruddin Shah, Randeep Hooda[83]",Thriller,2013,http://www.imdb.com/find?q=John+Day+2013+
4093,Horror Story,Ayush Raina,"Karan Kundra, Nishant Malkani, Ravish Desai, Hasan Zaidi, Sheetal Singh,Aparna Bajpai, Radhika Menon, Nandini Vaid[84]",Horror,2013,http://www.imdb.com/find?q=Horror+Story+2013+
4094,Phata Poster Nikla Hero,Rajkumar Santoshi,"Shahid Kapoor, Ileana D'Cruz, Parul Yadav, Padmini Kolhapure, Darshan Jariwala[85]",Rom com/Action,2013,http://www.imdb.com/find?q=Phata+Poster+Nikla+Hero+2013+
4095,The Lunchbox,Ritesh Batra,"Irrfan Khan, Nawazuddin Siddiqui, Bharati Achrekar[86]",Drama,2013,http://www.imdb.com/find?q=The+Lunchbox+2013+
4096,Warning,Gurmmeet Singh,"Santosh Barmola, Suzana Rodrigues, Manjari Fadnis, Varun Sharma, Jitin Gulati, Sumit Suri, Madhurima Tuli[87]",Thriller,2013,http://www.imdb.com/find?q=Warning+2013+
4097,Maazii,Jaideep Chopra,"Sumeet Nijhawan, Mona Wasu, Pankaj Tripathi, Mohd. Zeeshan Ayyub, Manish Chaudhary[88]",Suspense thriller,2013,http://www.imdb.com/find?q=Maazii+2013+
4098,Prague,Ashish R Shukla,"Chandan Roy Sanyal, Elena Kazan, Arfi Lamba, Kumar Mayank[89]",Psychological thriller/Romance,2013,http://www.imdb.com/find?q=Prague+2013+
4099,Super Model,Navin Batra,"Veena Malik, Ashmit Patel, Jackie Shroff[90]",Drama,2013,http://www.imdb.com/find?q=Super+Model+2013+
4100,War Chhod Na Yaar,Faraz Haider,"Sharman Joshi, Javed Jaffrey, Soha Ali Khan, Sanjai Mishra[91]",War comedy,2013,http://www.imdb.com/find?q=War+Chhod+Na+Yaar+2013+
4101,Baat Ban Gayi,Shuja Ali,"Ali Fazal, Gulshan Grover, Anisa[92]",Comedy,2013,http://www.imdb.com/find?q=Baat+Ban+Gayi+2013+
4102,Pazhassi Raja,Hariharan,"Mammootty, Manoj K. Jayan, Sarathkumar, Suresh Krishna, Padmapriya Janakiraman,Kanika Subramaniam[93]",Historical fiction,2013,http://www.imdb.com/find?q=Pazhassi+Raja+2013+
4103,Ek Thee Sanam,Monish Kaushal,"Nisha Triloki, Rajender Thakur, Gopal Thakur[94]",Drama,2013,http://www.imdb.com/find?q=Ek+Thee+Sanam+2013+
4104,Paapi - Ek Satya Katha,Aziz Sejawal,"Arya Babbar, Prosenjit Chatterjee, Sayantika Banerjee, Pooja Bharti, Rajesh Sharma,Harish Patel[95]",Crime,2013,http://www.imdb.com/find?q=Paapi+-+Ek+Satya+Katha+2013+
